Simbol;Denumire emisiune;ISIN;Emitent;Cod Fiscal / CUI;Nr. obligatiuni emise;Valoare nominala;Valoare emisiune;Data emisiune;Data listarii;Data maturitate;Numar cupoane;Convertibila;Benchmark;Tip;Sectiune bursa;Piata Principala;Categoria;Stare;Model tranzactionare;Lista pasi de pret
R2604B;MINISTERUL FINANTELOR;RO7EDWC8QC48;MINISTERUL  FINANTELOR;8609468;996353;100;99635300;16.04.2025;17.04.2025;16.04.2026;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2604C;MINISTERUL FINANTELOR;RO46A6FI84J6;MINISTERUL  FINANTELOR;8609468;4804006;100;480400600;16.04.2025;17.04.2025;16.04.2026;1;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2608A;MINISTERUL FINANTELOR;ROZKUIL6NN02;MINISTERUL  FINANTELOR;8609468;4217652;100;421765200;02.08.2023;03.08.2023;02.08.2026;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2610A;MINISTERUL FINANTELOR;ROGWHMPF3TX8;MINISTERUL  FINANTELOR;8609468;2333581;100;233358100;06.10.2023;09.10.2023;06.10.2026;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2610AE;MINISTERUL FINANTELOR;ROQHRYERUPM6;MINISTERUL  FINANTELOR;8609468;590718;100;59071800;06.10.2021;07.10.2021;06.10.2026;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2612A;MINISTERUL FINANTELOR;ROS2QW8ADYI0;MINISTERUL  FINANTELOR;8609468;5631088;100;563108800;20.12.2023;21.12.2023;20.12.2026;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2612AE;MINISTERUL FINANTELOR;ROUFKA4GGAZ1;MINISTERUL  FINANTELOR;8609468;421163;100;42116300;15.12.2021;16.12.2021;15.12.2026;5;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2612BE;MINISTERUL FINANTELOR;ROPOCDN18MP3;MINISTERUL  FINANTELOR;8609468;844140;100;84414000;23.12.2024;27.12.2024;23.12.2026;2;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2702AE;MINISTERUL FINANTELOR;ROYBEZSSXQ73;MINISTERUL  FINANTELOR;8609468;1639925;100;163992500;19.02.2025;20.02.2025;19.02.2027;2;N/A;N/A;Titluri de stat;BSE;EREGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
R2703A;MINISTERUL FINANTELOR;ROFO4YBT7LL8;MINISTERUL  FINANTELOR;8609468;3503122;100;350312200;06.03.2024;07.03.2024;06.03.2027;3;N/A;N/A;Titluri de stat;BSE;REGT;Titluri de stat;Tranzactionabila;Tranzactionare continua;
